32768, 18713, 1
65536, 9879, 58
65536, 9879, 1
131072, 9827, 86
131072, 9827, 1
131072, 71799, 1
262144, 9878, 125
262144, 9878, 1
262144, 68847, 90
262144, 68847, 1
262144, 159756, 1
262144, 181689, 1
524288, 9887, 312
524288, 9887, 1
524288, 27445, 181
524288, 27445, 1
524288, 79558, 347
524288, 79558, 1
524288, 173845, 105
524288, 173845, 1
524288, 216691, 1
524288, 238601, 1
524288, 322792, 1
524288, 396684, 1
524288, 403381, 1
524288, 418178, 2
1048576, 9838, 572
1048576, 9838, 1
1048576, 27157, 675
1048576, 27157, 1
1048576, 79549, 246
1048576, 79549, 1
1048576, 173992, 198
1048576, 173992, 1
1048576, 210284, 188
1048576, 210284, 1
1048576, 210734, 191
1048576, 210734, 1
1048576, 210768, 205
1048576, 210768, 1
1048576, 216573, 188
1048576, 216573, 1
1048576, 236159, 201
1048576, 236159, 1
1048576, 288386, 155
1048576, 288386, 1
1048576, 432379, 1
1048576, 451266, 1
1048576, 513888, 1
1048576, 755851, 1
1048576, 838044, 1
2097152, 3571, 1774
2097152, 3571, 1
2097152, 9813, 3051
2097152, 9813, 1
2097152, 13198, 511
2097152, 13198, 1
2097152, 27116, 1698
2097152, 27116, 1
2097152, 79538, 504
2097152, 79538, 1
2097152, 104815, 342
2097152, 104815, 1
2097152, 110660, 340
2097152, 110660, 1
2097152, 173651, 332
2097152, 173651, 1
2097152, 209805, 319
2097152, 209805, 1
2097152, 210278, 314
2097152, 210278, 1
2097152, 210313, 494
2097152, 210313, 1
2097152, 216077, 341
2097152, 216077, 1
2097152, 287596, 303
2097152, 287596, 1
2097152, 287605, 313
2097152, 287605, 1
2097152, 655276, 201
2097152, 655276, 1
2097152, 881751, 1
2097152, 938605, 1
2097152, 959127, 1
2097152, 1100877, 1
2097152, 1134603, 1
2097152, 1280565, 1
2097152, 1327257, 1
2097152, 1346623, 1
2097152, 1355000, 1
2097152, 1378455, 1
4194304, 9818, 9968
4194304, 9818, 1
4194304, 13109, 1145
4194304, 13109, 1
4194304, 27159, 512
4194304, 27159, 1
4194304, 71641, 881
4194304, 71641, 1
4194304, 79391, 1618
4194304, 79391, 1
4194304, 104611, 504
4194304, 104611, 1
4194304, 110436, 885
4194304, 110436, 1
4194304, 157053, 490
4194304, 157053, 1
4194304, 157838, 718
4194304, 157838, 1
4194304, 157883, 507
4194304, 157883, 1
4194304, 173796, 499
4194304, 173796, 1
4194304, 209742, 714
4194304, 209742, 1
4194304, 210182, 723
4194304, 210182, 1
4194304, 210219, 494
4194304, 210219, 1
4194304, 210967, 509
4194304, 210967, 1
4194304, 215955, 486
4194304, 215955, 1
4194304, 287498, 475
4194304, 287498, 1
4194304, 419231, 456
4194304, 419231, 1
4194304, 434158, 452
4194304, 434158, 1
4194304, 448812, 440
4194304, 448812, 1
4194304, 654917, 401
4194304, 654917, 1
4194304, 842161, 367
4194304, 842161, 1
4194304, 1069407, 322
4194304, 1069407, 1
4194304, 1127172, 303
4194304, 1127172, 1
4194304, 1521524, 168
4194304, 1521524, 1
4194304, 1753758, 1
4194304, 1768673, 1
4194304, 1804400, 1
4194304, 1978619, 1
4194304, 2221530, 1
4194304, 2248230, 1
4194304, 2534378, 1
4194304, 2540129, 1
4194304, 2564635, 1
4194304, 2572718, 1
4194304, 2573763, 1
4194304, 2605513, 1
4194304, 2618342, 1
4194304, 2675998, 1
4194304, 2770735, 1
4194304, 2918309, 1
4194304, 2918482, 1
4194304, 2952984, 1
4194304, 3048143, 1
4194304, 3076763, 1
4194304, 3194764, 1
4194304, 3258906, 1
8388608, 2141, 4160
8388608, 2141, 1
8388608, 6659, 5017
8388608, 6659, 1
8388608, 6768, 9102
8388608, 6768, 1
8388608, 10008, 9849
8388608, 10008, 1
8388608, 13334, 2611
8388608, 13334, 1
8388608, 13428, 2048
8388608, 13428, 1
8388608, 19813, 14373
8388608, 19813, 1
8388608, 27487, 1254
8388608, 27487, 1
8388608, 28952, 1773
8388608, 28952, 1
8388608, 52685, 719
8388608, 52685, 1
8388608, 54184, 1618
8388608, 54184, 1
8388608, 79735, 1618
8388608, 79735, 1
8388608, 104812, 1772
8388608, 104812, 1
8388608, 110505, 2611
8388608, 110505, 1
8388608, 115390, 3156
8388608, 115390, 1
8388608, 134988, 724
8388608, 134988, 1
8388608, 157884, 711
8388608, 157884, 1
8388608, 157918, 1617
8388608, 157918, 1
8388608, 173764, 1023
8388608, 173764, 1
8388608, 209912, 714
8388608, 209912, 1
8388608, 210328, 1773
8388608, 210328, 1
8388608, 210372, 724
8388608, 210372, 1
8388608, 211126, 702
8388608, 211126, 1
8388608, 212851, 715
8388608, 212851, 1
8388608, 216121, 715
8388608, 216121, 1
8388608, 236164, 708
8388608, 236164, 1
8388608, 419769, 681
8388608, 419769, 1
8388608, 434733, 678
8388608, 434733, 1
8388608, 449523, 687
8388608, 449523, 1
8388608, 647587, 667
8388608, 647587, 1
8388608, 655570, 665
8388608, 655570, 1
8388608, 842451, 632
8388608, 842451, 1
8388608, 957400, 630
8388608, 957400, 1
8388608, 1128309, 602
8388608, 1128309, 1
8388608, 1429442, 553
8388608, 1429442, 1
8388608, 1522031, 562
8388608, 1522031, 1
8388608, 1699297, 527
8388608, 1699297, 1
8388608, 1717177, 508
8388608, 1717177, 1
8388608, 1749583, 508
8388608, 1749583, 1
8388608, 1835040, 513
8388608, 1835040, 1
8388608, 1965674, 475
8388608, 1965674, 1
8388608, 2097313, 450
8388608, 2097313, 1
8388608, 2152807, 437
8388608, 2152807, 1
